2025-02-24 11:18:39,100 - MacroTester - INFO - DirectInput initialized successfully
2025-02-24 11:18:39,100 - MacroTester - INFO - Test mode: Using mock window Test Window
Starting recording in 3 seconds...
2025-02-24 11:18:42,100 - MacroTester - INFO - Started recording mouse movements
Recording mouse movements for 10 seconds...
2025-02-24 11:18:50,340 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 770, 'y': 132, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395930.3405836}
2025-02-24 11:18:50,440 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 753, 'y': 145, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395930.4408813}
2025-02-24 11:18:50,541 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 733, 'y': 158, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395930.5416994}
2025-02-24 11:18:50,642 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 709, 'y': 171, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395930.642267}
2025-02-24 11:18:50,744 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 681, 'y': 185, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395930.7445686}
2025-02-24 11:18:50,845 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 651, 'y': 199, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395930.845134}
2025-02-24 11:18:50,945 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 619, 'y': 214, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395930.9455812}
2025-02-24 11:18:51,046 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 584, 'y': 228, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395931.0460393}
2025-02-24 11:18:51,146 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 548, 'y': 243, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395931.1465168}
2025-02-24 11:18:51,246 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 510, 'y': 258, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395931.2468052}
2025-02-24 11:18:51,347 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 470, 'y': 273, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395931.3474314}
2025-02-24 11:18:51,447 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 431, 'y': 288, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395931.4477572}
2025-02-24 11:18:51,548 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 391, 'y': 303, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395931.5480883}
2025-02-24 11:18:51,648 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 351, 'y': 318, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395931.6485271}
2025-02-24 11:18:51,749 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 311, 'y': 333, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395931.7494466}
2025-02-24 11:18:51,849 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 272, 'y': 348, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395931.8497782}
2025-02-24 11:18:51,950 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 235, 'y': 363, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395931.9500885}
2025-02-24 11:18:52,050 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 199, 'y': 377, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395932.0506692}
2025-02-24 11:18:52,153 - MacroTester - INFO - Saved 105 actions to recorded_macro.json
Recording stopped
Playing back recorded macro in 3 seconds...
2025-02-24 11:18:55,154 - MacroTester - INFO - Loaded 105 actions from recorded_macro.json
2025-02-24 11:18:55,154 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 400, 'y': 599, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395922.101079}
2025-02-24 11:18:55,255 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 440, 'y': 599, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395922.2014716}
2025-02-24 11:18:55,356 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 479, 'y': 598, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395922.3020585}
2025-02-24 11:18:55,457 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 518, 'y': 596, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395922.4026015}
2025-02-24 11:18:55,558 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 556, 'y': 593, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395922.50301}
2025-02-24 11:18:55,659 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 592, 'y': 590, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395922.6034622}
2025-02-24 11:18:55,762 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 626, 'y': 586, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395922.7039063}
2025-02-24 11:18:55,863 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 658, 'y': 581, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395922.8043373}
2025-02-24 11:18:55,964 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 687, 'y': 576, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395922.9046657}
2025-02-24 11:18:56,064 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 714, 'y': 569, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395923.0050263}
2025-02-24 11:18:56,166 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 737, 'y': 562, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395923.1059098}
2025-02-24 11:18:56,267 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 757, 'y': 555, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395923.2068038}
2025-02-24 11:18:56,368 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 773, 'y': 547, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395923.3071227}
2025-02-24 11:18:56,568 - MacroTester - DEBUG - Executed action: {'type': 'click', 'x': 786, 'y': 538, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395923.4074297}
2025-02-24 11:18:56,669 - MacroTester - DEBUG - Executed action: {'type': 'drag', 'x': 786, 'y': 538, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395923.50777}
2025-02-24 11:18:56,670 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 794, 'y': 528, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395923.507976}
2025-02-24 11:18:56,770 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 799, 'y': 518, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395923.60815}
