2025-02-24 12:08:42,422 - MacroTester - INFO - Visualization initialized (headless: True)
2025-02-24 12:08:42,422 - MacroTester - INFO - DirectInput initialized successfully
2025-02-24 12:08:42,422 - MacroTester - INFO - Test mode: Using mock window Test Window
2025-02-24 12:08:45,422 - MacroTester - INFO - Started recording mouse movements
Recording mouse movements for 10 seconds...
2025-02-24 12:08:48,735 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 331, 'y': 274, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398928.73553}
2025-02-24 12:08:48,835 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 292, 'y': 259, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398928.8358967}
2025-02-24 12:08:48,936 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 254, 'y': 244, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398928.9363377}
2025-02-24 12:08:49,036 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 218, 'y': 229, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398929.0366423}
2025-02-24 12:08:49,136 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 183, 'y': 215, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398929.1369505}
2025-02-24 12:08:49,237 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 150, 'y': 200, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398929.2373123}
2025-02-24 12:08:49,337 - MacroTester - DEBUG - Recorded action: {'type': 'scroll', 'x': None, 'y': None, 'button': 'left', 'duration': 0.1, 'scroll_amount': 3, 'key_code': None, 'text': None, 'timestamp': 1740398929.3376124}
2025-02-24 12:08:49,437 - MacroTester - DEBUG - Recorded action: {'type': 'click', 'x': 93, 'y': 173, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398929.4379244}
2025-02-24 12:08:49,538 - MacroTester - DEBUG - Recorded drag start: {'type': 'drag', 'x': 93, 'y': 173, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398929.5382268}
2025-02-24 12:08:49,538 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 69, 'y': 159, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398929.5384514}
2025-02-24 12:08:49,638 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 48, 'y': 146, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398929.6386468}
2025-02-24 12:08:49,739 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 31, 'y': 133, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398929.738962}
